track_id,x,y
25,250,696
26,928,384
27,278,630
29,215,639
32,992,390
33,313,702
35,1066,325
2,900,405
6,843,401
19,1121,432
25,245,701
26,929,385
27,272,632
29,208,642
32,994,389
33,310,706
35,1067,323
2,903,406
6,845,400
19,1122,430
25,239,705
26,935,387
27,266,634
29,201,645
32,997,386
33,306,710
35,1068,320
2,906,404
6,848,397
19,1129,424
25,233,710
26,946,385
27,260,636
29,194,648
32,1009,379
33,303,714
35,1070,317
2,931,402
6,850,394
19,1137,426
25,227,715
26,963,381
27,254,638
29,187,651
32,1027,375
33,300,719
35,1071,315
46,450,529
2,949,399
6,852,391
19,1145,420
25,221,719
26,980,375
27,248,641
29,180,654
32,1046,370
33,297,723
35,1073,312
46,466,530
2,962,396
6,855,388
19,1152,414
25,215,724
26,995,369
27,242,643
29,173,657
32,1062,365
33,293,728
35,1074,309
46,479,531
2,986,393
6,858,385
19,1165,416
25,209,728
26,1022,366
27,236,645
29,166,660
32,1090,365
33,290,732
35,1075,307
46,504,523
2,1010,390
6,860,381
19,1176,419
26,1047,364
27,230,647
29,159,663
32,1116,360
35,1077,304
46,523,512
2,1029,384
6,863,378
19,1182,422
26,1064,361
27,225,649
29,152,666
32,1135,357
35,1078,301
46,535,505
49,564,509
2,1046,379
6,865,375
19,1187,421
26,1078,356
27,219,651
29,144,669
32,1146,356
35,1079,299
46,542,503
49,570,502
2,1050,377
6,986,389
19,1180,420
26,1080,353
32,1149,354
35,1081,296
46,555,499
49,576,499
2,1047,372
6,987,385
19,1175,420
26,1074,354
32,1144,354
35,1082,293
46,569,495
49,564,501
2,1032,371
6,977,382
19,1165,422
26,1102,351
32,1154,351
35,1083,290
46,583,490
49,567,500
2,1039,369
6,984,379
19,1145,408
26,1113,348
32,1164,349
35,1085,288
46,596,486
49,570,498
2,1046,365
6,991,377
19,1128,406
26,1124,346
32,1173,346
35,1086,285
46,610,482
49,573,496
2,1054,363
6,998,375
19,1115,405
26,1136,343
32,1183,344
35,1087,282
46,624,477
49,576,495
2,1061,360
6,1006,372
19,1097,405
26,1147,340
32,1193,342
35,1089,279
46,637,473
49,578,493
2,1068,357
6,1013,370
19,1086,403
26,1158,338
32,1203,339
35,1090,277
46,651,469
49,582,492
52,871,361
2,1075,354
6,1020,368
19,1080,402
26,1169,335
32,1213,336
35,1091,274
46,665,464
49,585,490
52,856,357
2,1082,351
6,1027,365
19,1076,397
26,1180,333
32,1223,334
35,1093,271
46,679,460
49,587,488
52,849,343
2,1090,348
6,1034,363
19,1075,391
26,1192,330
32,1233,332
35,1094,269
46,692,456
49,590,487
52,847,332
2,1097,345
6,1041,360
19,1075,392
26,1203,328
32,1243,329
35,1095,266
46,706,451
49,593,485
52,839,326
2,1104,343
6,1048,358
19,1071,400
26,1214,325
32,1252,326
35,1097,263
46,720,447
49,596,483
52,830,320
2,1111,340
6,1055,356
19,1058,396
26,1225,322
32,1262,324
35,1098,261
46,733,443
49,599,481
52,822,314
2,1118,337
6,1063,353
19,1052,395
26,1236,320
32,1272,322
35,1099,258
46,747,438
49,602,480
52,814,308
54,857,300
2,1126,334
6,1069,351
19,1050,394
26,1247,317
32,1282,319
35,1101,255
46,761,434
49,604,478
52,805,301
54,859,301
55,898,290
56,838,313
2,1133,331
6,1077,348
19,1050,394
26,1258,314
32,1292,317
46,774,430
49,607,476
52,797,295
54,865,300
55,904,295
56,842,314
57,374,478
2,1140,328
6,1084,346
19,1043,397
26,1270,312
32,1302,314
46,788,426
49,610,475
52,789,288
54,860,302
55,898,297
56,837,319
57,376,475
2,1147,325
6,1091,344
19,1037,401
26,1281,309
32,1312,312
46,802,421
49,613,473
52,780,282
54,854,309
55,900,300
56,829,323
57,378,472
2,1154,322
6,1098,342
19,1033,406
26,1292,306
32,1321,309
46,815,417
49,616,472
52,816,335
54,853,309
55,881,305
56,837,325
57,379,468
2,1162,319
6,1105,339
19,1037,419
26,1303,304
32,1331,307
46,829,413
49,619,470
52,811,334
54,852,309
55,879,308
